model_name,eff_method,train_ratio,hyperparam_1,hyperparam_2
gpt2-xl,prefix,0.1004637952057712,9,10
gpt2-xl,prefix,0.11040683483085308,10,10
gpt2-large,lora,0.11892354372339706,5,16
gpt2-large,lora,0.5211563485496291,22,16
gpt2-large,lora,1.0135815342206538,43,16
gpt2-large,lora,1.036908781157587,44,16
EleutherAI/gpt-neo-2.7B,adapter,0.09262491116924462,7,0
EleutherAI/gpt-neo-2.7B,adapter,0.5103868347521846,41,0
EleutherAI/gpt-neo-2.7B,adapter,0.997420397327304,81,0
EleutherAI/gpt-neo-2.7B,prefix,0.0949215756854502,14,10
EleutherAI/gpt-neo-2.7B,prefix,0.10118545999542444,15,10
EleutherAI/gpt-neo-2.7B,prefix,0.10744855888412934,16,10
EleutherAI/gpt-neo-2.7B,prefix,0.4942328932114875,78,10
EleutherAI/gpt-neo-2.7B,prefix,0.5004468068185108,79,10
EleutherAI/gpt-neo-2.7B,prefix,0.5066599443838572,80,10
EleutherAI/gpt-neo-2.7B,prefix,1.0012093851826986,160,10
EleutherAI/gpt-neo-2.7B,prefix,1.1240794968052237,180,10
EleutherAI/gpt-j-6B,prefix,0.5014508167140836,125,10
EleutherAI/gpt-j-6B,prefix,0.5054055155245113,126,10
EleutherAI/gpt-j-6B,prefix,0.9972794478712265,251,10
gpt2,prefix,0.11343451816288769,6,10
gpt2,prefix,0.5121060100630354,32,10
gpt2,prefix,1.0135523108268345,65,10
EleutherAI/gpt-neo-2.7B,adapter,0.10496209712765367,8,0
EleutherAI/gpt-neo-2.7B,adapter,0.49814959283356325,40,0
EleutherAI/gpt-neo-2.7B,adapter,1.009535149114814,82,0
EleutherAI/gpt-neo-2.7B,adapter,1.0216469363481868,83,0
EleutherAI/gpt-neo-2.7B,prefix,0.9827525250272292,157,10
EleutherAI/gpt-neo-2.7B,prefix,0.9889055763667723,158,10
EleutherAI/gpt-neo-2.7B,prefix,0.9950578630377507,159,10
